Br	Tox1
BrC(Br)Br	Tox2
BrC(Br)C(Br)(Br)Br	Tox3
BrC(Br)C(Br)Br	Tox4
BrC/C=C/CBr	Tox5
BrC1CCC(Br)C(Br)CCC(Br)C(Br)CCC1Br	Tox6
BrCBr	Tox7
BrCC(Br)(Br)Br	Tox8
BrCC(Br)C1CCC(Br)C(Br)C1	Tox9
BrCC1CO1	Tox10
BrCCBr	Tox11
BrCCCBr	Tox12
BrCCCCBr	Tox13
BrCCCCCBr	Tox14
BrCCCCCCBr	Tox15
BrCCOc1ccccc1	Tox16
BrCCc1ccccc1	Tox17
BrCc1ccc(Br)cc1	Tox18
BrCc1cccc(Oc2ccccc2)c1	Tox19
BrCc1ccccc1	Tox20
Brc1c(Br)c(Br)c(Br)c(Br)c1Br	Tox21
Brc1c(Br)c(Br)c2[nH]cnc2c1Br	Tox22
Brc1c(NC2=NCCN2)ccc2nccnc12	Tox23
Brc1c2ccccc2c(Br)c2ccccc12	Tox24
Brc1c2ccccc2cc2ccccc12	Tox25
Brc1cc(-c2ccc(Br)c(Br)c2Br)cc(Br)c1Br	Tox26
Brc1cc(Br)c(Oc2cc(Br)c(Br)cc2Br)cc1Br	Tox27
Brc1cc(Oc2cc(Br)c(Br)c(Br)c2Br)c(Br)c(Br)c1Br	Tox28
Brc1cc2ccccc2c2ccccc12	Tox29
Brc1ccc(-c2ccccc2)cc1	Tox30
Brc1ccc(Br)c(Br)c1	Tox31
Brc1ccc(Br)cc1	Tox32
Brc1ccc(Oc2cc(Br)c(Br)cc2Br)c(Br)c1	Tox33
Brc1ccc(Oc2ccc(Br)cc2)cc1	Tox34
Brc1ccc(Oc2ccc(Br)cc2Br)c(Br)c1	Tox35
Brc1ccc(Oc2ccccc2)cc1	Tox36
Brc1cccc(-c2ccccc2)c1	Tox37
Brc1ccccc1	Tox38
Brc1ccccc1-c1ccccc1	Tox39
Brc1nc2ccccc2s1	Tox40
C#CC(C)(C)NC(=O)c1cc(Cl)cc(Cl)c1	Tox41
C#CC(C)(C)O	Tox42
C#CC(C)(CC)OC(=O)c1ccccc1C(=O)O	Tox43
C#CC(C)(O)CC(C)C	Tox44
C#CC(C)N(C)C(=O)Nc1ccc(Cl)cc1	Tox45
C#CC(O)(/C=C\Cl)CC	Tox46
C#CC(O)C(CC)CCCC	Tox47
C#CC(O)CCCCC	Tox48
C#CC1(O)CCCCC1	Tox49
C#CC1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC	Tox50
C#CCC(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1	Tox51
C#CCC1=C(C)[C@H](OC(=O)[C@H]2[C@H](C=C(C)C)C2(C)C)CC1=O	Tox52
C#CCN(C)CCCOc1ccc(Cl)cc1Cl	Tox53
C#CCN(C)Cc1ccccc1	Tox54
C#CCN(C)[C@H](C)Cc1ccccc1	Tox55
C#CCN1C(=O)COc2cc(F)c(N3C(=O)C4=C(CCCC4)C3=O)cc21	Tox56
C#CCN1CC(=O)N(COC(=O)[C@@H]2[C@@H](C=C(C)C)C2(C)C)C1=O	Tox57
C#CCN[C@@H]1CCc2ccccc21	Tox58
C#CCO	Tox59
C#CCOC(=O)/C=C(C)/C=C/CC(C)CCCC(C)C	Tox60
C#CCOC(=O)[C@@H](C)Oc1ccc(Oc2ncc(Cl)cc2F)cc1	Tox61
C#CCOC(C(=O)OCCN(C)C)(c1ccccc1)c1ccccc1	Tox62
C#CCOS(=O)OC1CCCCC1Oc1ccc(C(C)(C)C)cc1	Tox63
C#CCOc1ccc2c(C)cc(=O)oc2c1	Tox64
C#C[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@H]3CC[C@@]21C	Tox65
C#C[C@]1(O)C=C[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC	Tox66
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=C(CCC(=O)C4)[C@H]3CC[C@@]21C	Tox67
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=C/C(=N/O)CC[C@@H]4[C@H]3CC[C@@]21CC	Tox68
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3C=C[C@@]21CC	Tox69
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3C(=C)C[C@@]21CC	Tox70
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21C	Tox71
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC	Tox72
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C	Tox73
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@H]3C(=C)C[C@@]21CC	Tox74
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=Cc5oncc5C[C@]4(C)[C@H]3CC[C@@]21C	Tox75
C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C	Tox76
C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(OC)ccc4[C@H]3CC[C@@]21C	Tox77
C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(OC5CCCC5)ccc4[C@H]3CC[C@@]21C	Tox78
C#C[C@]1(O)CC[C@H]2[C@H]3[C@H](CC[C@@]21C)C1=C(CC(=O)CC1)C[C@H]3C	Tox79
C#C[C@]1(OC(=O)CCCCCC)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21C	Tox80
C#C[C@]1(OC(C)=O)CC[C@H]2[C@@H]3CCC4=C/C(=N/O)CC[C@@H]4[C@H]3CC[C@@]21CC	Tox81
C#C[C@]1(OC(C)=O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21C	Tox82
C#C[C@]1(OC(C)=O)CC[C@H]2[C@@H]3CCC4=C[C@@H](OC(C)=O)CC[C@@H]4[C@H]3CC[C@@]21C	Tox83
C#Cc1ccc(-c2ccccc2F)cc1	Tox84
C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1	Tox85
C#N	Tox86
C(=C(c1ccccc1)c1ccccc1)c1ccccc1	Tox87
C(=C/C=N/c1ccccc1)\C=C\Nc1ccccc1	Tox88
C(=C/c1ccccc1)\CN1CCN(C(c2ccccc2)c2ccccc2)CC1	Tox89
C(=C/c1ccccc1)\c1ccccc1	Tox90
C(=C\c1ccccc1)\c1ccccc1	Tox91
C(=Cc1ccncc1)c1ccccc1	Tox92
C(=NC1CCCCC1)=NC1CCCCC1	Tox93
C(CCOCC1CO1)COCC1CO1	Tox94
C(COCC1CO1)OCC1CO1	Tox95
C/C(=C(/CCO)SSCC1CCCO1)N(C=O)Cc1cnc(C)nc1N	Tox96
C/C(=C(/OCCOc1ccc(Cl)cc1)c1ccc(Cl)cc1Cl)n1ccnc1	Tox97
C/C(=C(\CCOC(=O)C(C)C)SS/C(CCOC(=O)C(C)C)=C(/C)N(C=O)Cc1cnc(C)nc1N)N(C=O)Cc1cnc(C)nc1N	Tox98
C/C(=C(\CCOC(=O)c1ccccc1)SS/C(CCOC(=O)c1ccccc1)=C(/C)N(C=O)Cc1cnc(C)nc1N)N(C=O)Cc1cnc(C)nc1N	Tox99
C/C(=C1\CCOC(=O)S1)N(C=O)Cc1cnc(C)nc1N	Tox100
C/C(=C\C(=O)OCCCCCCCCC(=O)O)C[C@@H]1OC[C@H](C[C@@H]2O[C@H]2[C@@H](C)[C@H](C)O)[C@@H](O)[C@H]1O	Tox101
C/C(=C\C(C)CC(C)CC(C)C)C1CC(=O)OC1=O	Tox102
C/C(=C\c1ccccc1)[N+](=O)[O-]	Tox103
C/C(=C\c1csc(C)n1)[C@H]1C[C@@H]2O[C@]2(C)CCC[C@H](C)C(O)[C@@H](C)C(=O)C(C)(C)[C@@H](O)CC(=O)O1	Tox104
C/C(=N/NC(=O)c1ccncc1)C(=O)O	Tox105
C/C(=N\Cc1ccccc1)c1ccccc1O	Tox106
C/C(=N\NC(=O)Nc1cc(F)cc(F)c1)c1ncccc1C(=O)O	Tox107
C/C(=N\O)[C@@H](C)NCC(C)(C)CN[C@H](C)/C(C)=N/O	Tox108
C/C(=N\O)c1ccc(OCC(=O)N2CCCCC2)cc1	Tox109
C/C(Cl)=C/CCl	Tox110
C/C=C(/C)C#N	Tox111
C/C=C(/CC[C@@H](C)[C@H]1CC[C@H]2C3=CC[C@H]4[C@H](C)[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C)C(C)C	Tox112
C/C=C(C(=C/C)/c1ccc(O)cc1)\c1ccc(O)cc1	Tox113
